ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
501,35004,0,1,0,1
601,10260,1,1,1,1
602,10380,1,1,1,1
603,10380,1,1,1,1
604,10380,1,1,1,1
605,10380,1,1,1,1
606,99999,1,1,1,1
610,10380,1,1,1,1
611,10380,1,1,1,1
612,10380,0.000954613,0.000412371,0.004338395,0.00096406
612,41980,0.002733663,0,0,0.002429431
612,11640,0.996311724,0.999587629,0.995661605,0.996606509
613,11640,1,1,1,1
614,11640,1,1,1,1
616,11640,1,1,1,1
617,41980,1,1,1,1
622,41900,1,1,1,1
623,32420,0.000852124,0,0,0.000796617
623,41900,0.999147876,1,1,0.999203383
624,38660,1,1,1,1
627,11640,1,1,1,1
631,10380,0,0,1,1
637,41900,1,1,1,1
638,41980,1,1,1,1
641,10380,1,1,1,1
646,41980,1,1,1,1
647,38660,1,1,1,1
650,41980,1,1,1,1
652,11640,1,1,1,1
653,38660,1,1,1,1
656,38660,1,1,1,1
659,11640,1,1,1,1
660,32420,1,1,1,1
662,10380,1,1,1,1
664,27580,1,1,1,1
667,41900,1,1,1,1
669,10380,1,1,1,1
670,99999,1,1,1,1
674,41980,1,1,1,1
676,10380,1,1,1,1
677,10380,1,1,1,1
678,11640,1,1,1,1
680,41900,0.000290515,0,0,0.000249097
680,32420,0.999709485,1,1,0.999750903
681,32420,1,1,1,1
682,32420,1,1,1,1
683,41900,0.989471966,1,1,0.990521675
683,32420,0.010528034,0,0,0.009478325
685,10380,1,1,1,1
687,41980,1,1,1,1
688,11640,1,1,1,1
690,10380,1,1,1,1
692,41980,1,1,1,1
693,41980,1,1,1,1
694,41980,1,1,1,1
698,38660,1,1,1,1
703,41980,1,1,1,1
704,17640,1,1,1,1
705,41980,0.998675672,1,1,0.998819362
705,17620,0.001324328,0,0,0.001180638
707,41980,1,1,1,1
714,25020,1,1,1,1
715,38660,1,1,1,1
716,38660,1,1,1,1
717,38660,1,1,1,1
718,41980,1,1,1,1
719,41980,1,1,1,1
720,41980,0.992772668,1,1,0.993409227
720,38660,0.007227332,0,0,0.006590773
721,41980,1,1,1,1
723,25020,1,1,1,1
725,41980,1,1,1,1
726,41980,1,1,1,1
727,41980,1,1,1,1
728,38660,1,1,1,1
729,41980,1,1,1,1
730,38660,1,1,1,1
731,38660,1,1,1,1
732,38660,1,1,1,1
733,38660,1,1,1,1
735,41980,1,1,1,1
736,41980,1,1,1,1
737,41980,1,1,1,1
738,41980,1,1,1,1
739,41980,1,1,1,1
740,41980,1,1,1,1
741,41980,1,1,1,1
742,41980,0,0,1,1
744,41980,1,1,1,1
745,41980,1,1,1,1
751,17640,0.998640129,1,1,0.998734032
751,42180,0.001359871,0,0,0.001265968
754,41980,1,1,1,1
757,17640,0.002856078,0.030516432,0,0.004210034
757,42180,0.997143922,0.969483568,1,0.995789966
765,99999,1,1,1,1
766,38660,1,1,1,1
767,41980,1,1,1,1
769,17620,1,1,1,1
771,41980,1,1,1,1
772,41980,1,1,1,1
773,41980,1,1,1,1
775,99999,0,0,1,1
777,41980,1,1,1,1
778,41980,1,1,1,1
780,38660,1,1,1,1
782,41980,1,1,1,1
783,41980,1,1,1,1
784,25020,1,1,1,1
785,25020,1,1,1,1
786,41980,0,0,1,1
791,41980,1,1,1,1
792,41980,1,1,1,1
794,41980,1,1,1,1
795,38660,1,1,1,1
802,99999,1,1,1,1
820,99999,1,1,1,1
830,99999,1,1,1,1
840,99999,1,1,1,1
850,99999,1,1,1,1
901,41980,1,1,1,1
902,41980,1,1,1,1
907,41980,1,1,1,1
908,41980,1,1,1,1
909,41980,1,1,1,1
910,41980,1,1,1,1
911,41980,1,1,1,1
912,41980,1,1,1,1
913,41980,1,1,1,1
914,41980,1,1,1,1
915,41980,1,1,1,1
916,41980,1,1,1,1
917,41980,1,1,1,1
918,41980,1,1,1,1
919,41980,1,1,1,1
920,41980,1,1,1,1
921,41980,1,1,1,1
922,41980,1,1,1,1
923,41980,1,1,1,1
924,41980,1,1,1,1
925,41980,1,1,1,1
926,41980,1,1,1,1
927,41980,1,1,1,1
928,41980,1,1,1,1
929,41980,1,1,1,1
931,41980,1,1,1,1
934,41980,1,1,1,1
935,41980,0,1,0,1
936,41980,1,1,1,1
937,41980,1,1,1,1
940,41980,1,1,1,1
949,41980,1,1,1,1
950,41980,1,1,1,1
951,41980,1,1,1,1
952,41980,1,1,1,1
953,41980,1,1,1,1
954,41980,1,1,1,1
956,41980,1,1,1,1
957,41980,1,1,1,1
958,41980,1,1,1,1
959,41980,1,1,1,1
960,41980,1,1,1,1
961,41980,1,1,1,1
962,41980,1,1,1,1
963,41980,1,1,1,1
965,41980,1,1,1,1
966,41980,1,1,1,1
968,41980,1,1,1,1
969,41980,1,1,1,1
970,41980,1,1,1,1
971,41980,1,1,1,1
975,41980,0,1,1,1
976,41980,1,1,1,1
977,41980,1,1,1,1
979,41980,1,1,1,1
981,41980,1,1,1,1
982,41980,1,1,1,1
983,41980,1,1,1,1
984,41980,1,1,1,1
985,41980,1,1,1,1
986,41980,1,1,1,1
987,41980,1,1,1,1
988,41980,1,1,1,1
1001,44140,1,1,1,1
1002,24640,0.010861264,0.001127396,0.003508772,0.009892765
1002,44140,0.989138736,0.998872604,0.996491228,0.990107235
1003,44140,1,1,1,1
1004,44140,1,1,1,1
1005,49340,1,1,1,1
1007,44140,1,1,1,1
1008,38340,0.050607287,0.05,0,0.050096339
1008,44140,0.949392713,0.95,1,0.949903661
1009,44140,0,1,0,1
1010,44140,0.973601508,1,0,0.974311927
1010,49340,0.026398492,0,0,0.025688073
1011,44140,0.992079208,0.972972973,1,0.990875912
1011,38340,0.007920792,0.027027027,0,0.009124088
1012,44140,1,1,1,1
1013,44140,1,1,1,1
1014,44140,1,1,1,1
1020,44140,1,1,1,1
1021,44140,1,1,1,1
1022,44140,1,1,1,1
1026,38340,0.052631579,0.037037037,0,0.050933786
1026,44140,0.947368421,0.962962963,1,0.949066214
1027,44140,1,1,1,1
1028,44140,1,1,1,1
1029,38340,1,0,1,1
1030,44140,1,1,1,1
1031,49340,1,1,1,1
1032,44140,1,1,1,1
1033,44140,1,1,1,1
1034,44140,1,1,1,1
1035,44140,1,1,1,1
1036,44140,1,1,1,1
1037,49340,1,1,0,1
1038,44140,1,1,1,1
1039,24640,0.190909091,0,0.25,0.187683284
1039,44140,0.809090909,1,0.75,0.812316716
1040,44140,1,1,1,1
1041,44140,1,1,1,1
1050,44140,1,1,1,1
1053,44140,1,1,1,1
1054,24640,1,1,1,1
1056,44140,1,1,1,1
1057,44140,1,1,1,1
1059,44140,0,1,0,1
1060,44140,1,1,1,1
1061,44140,1,1,1,1
1062,44140,1,1,1,1
1063,44140,0,1,1,1
1066,44140,1,1,0,1
1068,49340,1,1,1,1
1069,44140,1,1,1,1
1070,24640,0.007042254,0,0,0.006968641
1070,44140,0.982394366,1,1,0.982578397
1070,38340,0.01056338,0,0,0.010452962
1071,44140,1,1,1,1
1072,24640,1,1,1,1
1073,44140,1,1,1,1
1074,49340,0,1,0,1
1075,44140,1,1,1,1
1077,44140,1,1,1,1
1079,44140,1,1,0,1
1080,44140,1,1,1,1
1081,44140,1,1,1,1
1082,44140,0.932400473,0.801075269,0.947368421,0.924468646
1082,49340,0.067599527,0.198924731,0.052631579,0.075531354
1083,49340,0,0,1,1
1084,44140,1,0,1,1
1085,44140,1,1,1,1
1088,44140,1,1,1,1
1089,44140,1,1,1,1
1090,44140,1,1,1,1
1092,49340,0,0,1,1
1093,24640,1,0,1,1
1094,49340,0,1,1,1
1095,44140,1,1,1,1
1096,44140,0.889570552,0.9375,1,0.890890891
1096,24640,0.110429448,0.0625,0,0.109109109
1098,44140,1,1,1,1
1101,44140,1,1,1,1
1103,44140,1,1,1,1
1104,44140,1,1,1,1
1105,44140,1,1,1,1
1106,44140,1,1,1,1
1107,44140,1,1,1,1
1108,44140,1,1,1,1
1109,44140,1,1,1,1
1111,44140,0,1,0,1
1115,44140,0,1,1,1
1116,44140,1,1,1,1
1118,44140,1,1,1,1
1119,44140,1,1,1,1
1128,44140,1,1,1,1
1129,44140,1,1,1,1
1138,44140,1,1,1,1
1139,44140,1,1,1,1
1144,44140,0,1,1,1
1151,44140,1,1,1,1
1152,44140,0,1,1,1
1199,44140,0,1,0,1
1201,38340,1,1,1,1
1202,38340,1,1,1,1
1220,38340,1,1,1,1
1222,38340,1,1,1,1
1223,44140,0.001467351,0,0,0.001436782
1223,38340,0.998532649,1,1,0.998563218
1224,38340,1,0,1,1
1225,38340,1,1,1,1
1226,38340,1,1,1,1
1227,38340,1,1,1,1
1229,38340,0,1,0,1
1230,38340,1,1,1,1
1235,38340,0.96439471,0.979166667,1,0.966005666
1235,44140,0.03560529,0.020833333,0,0.033994334
1236,38340,1,1,1,1
1237,38340,1,1,1,1
1238,38340,1,1,1,1
1240,38340,1,1,1,1
1242,38340,0,0,1,1
1243,44140,0,1,0,1
1244,38340,0,1,0,1
1245,38340,1,1,0,1
1247,24640,0.002819651,0,0,0.002443379
1247,38340,0.997180349,1,1,0.997556621
1252,38340,0,0,1,1
1253,38340,1,1,1,1
1254,38340,1,1,1,1
1255,38340,1,1,0,1
1256,38340,1,1,1,1
1257,38340,1,1,1,1
1258,38340,1,1,1,1
1259,38340,1,1,1,1
1260,38340,1,0,1,1
1262,38340,1,1,1,1
1263,38340,0,1,0,1
1264,38340,1,0,1,1
1266,38340,1,1,1,1
1267,38340,1,1,1,1
1270,38340,1,1,1,1
1301,24640,1,1,1,1
1302,24640,1,1,1,1
1330,24640,0.979197623,1,1,0.980446927
1330,44140,0.020802377,0,0,0.019553073
1331,24640,0.000969619,0.002493766,0,0.001032144
1331,49340,0.999030381,0.997506234,1,0.998967856
1337,24640,1,1,1,1
1338,24640,1,1,1,1
1339,24640,1,1,1,1
1340,24640,1,1,1,1
1341,24640,1,1,1,1
1342,24640,1,1,1,1
1343,38340,1,1,1,1
1344,24640,1,1,1,1
1346,24640,1,0,1,1
1347,24640,1,0,1,1
1349,24640,1,1,1,1
1350,24640,1,1,1,1
1351,24640,1,1,1,1
1354,24640,1,1,1,1
1355,24640,1,1,1,1
1360,24640,1,1,1,1
1364,24640,0.997795536,0.994623656,1,0.997582789
1364,49340,0.002204464,0.005376344,0,0.002417211
1366,49340,1,1,1,1
1367,38340,0.056962025,0.058823529,0,0.056379822
1367,24640,0.943037975,0.941176471,1,0.943620178
1368,49340,1,1,1,1
1370,24640,1,1,1,1
1373,24640,1,1,1,1
1375,24640,1,1,1,1
1376,24640,1,1,1,1
1378,24640,1,1,1,1
1379,24640,1,1,1,1
1380,24640,1,0,1,1
1420,49340,1,1,1,1
1430,49340,1,1,1,1
1431,49340,0.001782531,0,0,0.001703578
1431,15764,0.998217469,1,1,0.998296422
1432,15764,1,1,1,1
1434,15764,0.311881188,0.119863014,0.361111111,0.209433962
1434,49340,0.688118812,0.880136986,0.638888889,0.790566038
1436,49340,1,1,1,1
1438,49340,1,0,1,1
1440,49340,1,1,1,1
1441,49340,0,0,1,1
1450,15764,1,1,1,1
1451,15764,0.011424491,0,0,0.010213853
1451,49340,0.988575509,1,1,0.989786147
1452,49340,1,1,1,1
1453,49340,1,1,1,1
1460,15764,1,1,1,1
1462,15764,0.001375786,0,0,0.001282756
1462,49340,0.998624214,1,1,0.998717244
1463,15764,1,1,1,1
1464,15764,1,1,1,1
1467,49340,0,0,1,1
1468,49340,1,1,1,1
1469,15764,1,1,1,1
1472,15764,0,0,1,1
1473,49340,1,1,1,1
1474,15764,1,1,1,1
1475,49340,1,1,1,1
1501,49340,1,1,1,1
1503,49340,1,1,1,1
1504,14454,0.002939604,0.013513514,0,0.003231419
1504,49340,0.997060396,0.986486486,1,0.996768581
1505,49340,1,1,1,1
1506,49340,1,1,1,1
1507,49340,1,1,1,1
1508,49340,1,0,1,1
